phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,13,22,22471,1085,23556,0.001539,0.000101,0.001640
11,13,24,72600,5174,77774,0.004584,0.000285,0.004869
10,14,24,30123,652942,683065,0.001994,0.023604,0.025598
9,15,24,18495,134803,153298,0.001262,0.005625,0.006887
8,11,19,1524,9193,10717,0.000127,0.000422,0.000549
10,14,24,25737,168500,194237,0.001830,0.006539,0.008369
9,14,23,853,7533795,7534648,0.000099,0.259872,0.259971
9,15,24,10118,2796634,2806752,0.000832,0.115286,0.116118
8,14,22,545,223262,223807,0.000083,0.013291,0.013374
10,10,20,12990,966,13956,0.001005,0.000067,0.001072
10,13,23,20019,158400,178419,0.001392,0.006681,0.008073
10,15,25,37194,4778112,4815306,0.003146,0.177292,0.180438
10,14,24,16428,64976,81404,0.001337,0.002804,0.004141
10,15,25,20077,939665,959742,0.001492,0.040299,0.041791
9,14,23,5750,275675,281425,0.000523,0.012647,0.013170
10,14,24,25060,80962,106022,0.001778,0.003789,0.005567
10,16,26,16087,3393033,3409120,0.001187,0.139630,0.140817
9,14,23,12884,90784,103668,0.000994,0.004095,0.005089
11,13,24,79508,315210,394718,0.005304,0.012605,0.017909
8,14,22,398,199577,199975,0.000055,0.007967,0.008022
10,14,24,44896,880706,925602,0.003280,0.031012,0.034292
10,13,23,47671,193933,241604,0.003421,0.008435,0.011856
9,13,22,4411,384664,389075,0.000394,0.014776,0.015170
10,12,22,25887,79389,105276,0.001786,0.003250,0.005036
9,15,24,808,2610282,2611090,0.000091,0.104540,0.104631
9,13,22,10279,19788,30067,0.000897,0.000873,0.001770
9,15,24,1851,1140827,1142678,0.000165,0.045404,0.045569
10,14,24,61703,655779,717482,0.004028,0.024833,0.028861
10,13,23,15142,224989,240131,0.001142,0.008517,0.009659
10,15,25,45164,6128754,6173918,0.003148,0.211723,0.214871
10,15,25,15957,1698047,1714004,0.001216,0.063001,0.064217
9,12,21,889,26288,27177,0.000126,0.001119,0.001245
9,15,24,18460,429654,448114,0.001298,0.017827,0.019125
10,12,22,55255,3231,58486,0.003766,0.000192,0.003958
10,14,24,3961,281967,285928,0.000322,0.013438,0.013760
10,12,22,19060,782,19842,0.001439,0.000068,0.001507
9,15,24,2397,328934,331331,0.000217,0.015132,0.015349
9,14,23,6112,488856,494968,0.000513,0.017961,0.018474
9,13,22,20070,22881,42951,0.001389,0.001214,0.002603
10,16,26,14976,5530864,5545840,0.001087,0.210030,0.211117
11,15,26,94190,895792,989982,0.006054,0.033770,0.039824
10,15,25,20300,782039,802339,0.001535,0.029004,0.030539
8,15,23,1400,609968,611368,0.000159,0.025610,0.025769
9,14,23,9870,470588,480458,0.000787,0.017650,0.018437
10,13,23,13428,51263,64691,0.001087,0.002403,0.003490
10,16,26,18885,1822931,1841816,0.001414,0.070714,0.072128
9,14,23,1153,1180580,1181733,0.000145,0.044467,0.044612
9,13,22,6572,96580,103152,0.000573,0.004594,0.005167
10,13,23,28829,167979,196808,0.002350,0.007550,0.009900
10,12,22,24771,31533,56304,0.001914,0.001598,0.003512
9,15,24,3421,1200810,1204231,0.000249,0.048520,0.048769
9,14,23,973,206400,207373,0.000100,0.009648,0.009748
10,14,24,7884,2779555,2787439,0.000643,0.114207,0.114850
9,15,24,10780,589390,600170,0.000853,0.026966,0.027819
9,14,23,10662,441057,451719,0.000714,0.019888,0.020602
10,14,24,5189,969815,975004,0.000450,0.041085,0.041535
9,15,24,879,378932,379811,0.000092,0.016817,0.016909
9,15,24,8300,7999000,8007300,0.000572,0.342227,0.342799
9,13,22,2002,89887,91889,0.000232,0.004256,0.004488
9,12,21,6958,42787,49745,0.000539,0.001811,0.002350
10,14,24,22803,726658,749461,0.001736,0.030196,0.031932
10,13,23,44126,581695,625821,0.003191,0.022122,0.025313
9,14,23,4431,654096,658527,0.000420,0.029344,0.029764
10,15,25,13783,3340995,3354778,0.001197,0.151460,0.152657
10,13,23,17800,14252,32052,0.001532,0.001019,0.002551
10,14,24,37062,121568,158630,0.002747,0.005384,0.008131
9,15,24,685,649626,650311,0.000081,0.028407,0.028488
9,12,21,12409,38816,51225,0.000947,0.001745,0.002692
10,15,25,24506,636738,661244,0.001864,0.027978,0.029842
10,12,22,7957,93531,101488,0.000688,0.004074,0.004762
10,13,23,43111,267347,310458,0.003038,0.009792,0.012830
10,14,24,21775,504019,525794,0.001588,0.019092,0.020680
10,13,23,24459,6885,31344,0.001831,0.000336,0.002167
10,14,24,34120,611526,645646,0.002313,0.028113,0.030426
9,12,21,2064,2549,4613,0.000206,0.000211,0.000417
9,15,24,2446,5341513,5343959,0.000232,0.204677,0.204909
10,15,25,33036,1430644,1463680,0.002628,0.063257,0.065885
10,14,24,14836,744821,759657,0.001205,0.032306,0.033511
9,14,23,6807,596855,603662,0.000581,0.024024,0.024605
9,14,23,1207,254288,255495,0.000123,0.010975,0.011098
10,14,24,37752,14570,52322,0.002856,0.001452,0.004308
9,14,23,12151,215694,227845,0.000935,0.009661,0.010596
9,15,24,9803,239146,248949,0.000795,0.013144,0.013939
10,13,23,6598,431750,438348,0.000570,0.015274,0.015844
10,15,25,36228,1685923,1722151,0.002666,0.077263,0.079929
9,14,23,2433,4506055,4508488,0.000260,0.179421,0.179681
10,14,24,17059,504729,521788,0.001499,0.021978,0.023477
11,14,25,97700,503967,601667,0.007314,0.024365,0.031679
9,14,23,2536,335001,337537,0.000252,0.015496,0.015748
9,15,24,7876,2580054,2587930,0.000688,0.110955,0.111643
9,11,20,8428,6816,15244,0.000658,0.000387,0.001045
9,14,23,7933,1355197,1363130,0.000641,0.050761,0.051402
9,12,21,12548,10051,22599,0.000966,0.000539,0.001505
10,14,24,20095,664052,684147,0.001536,0.029523,0.031059
10,13,23,8451,154043,162494,0.000727,0.006181,0.006908
8,14,22,487,1525078,1525565,0.000055,0.068501,0.068556
10,14,24,21560,339771,361331,0.001596,0.015972,0.017568
9,13,22,6877,106158,113035,0.000550,0.004446,0.004996
10,15,25,48601,5066226,5114827,0.003518,0.205979,0.209497
9,13,22,10866,62337,73203,0.000860,0.002580,0.003440
9,14,23,4226,604343,608569,0.000365,0.027335,0.027700
8,14,22,1593,336538,338131,0.000137,0.014891,0.015028
10,13,23,11328,325354,336682,0.000989,0.012531,0.013520
11,13,24,129307,163954,293261,0.009224,0.007650,0.016874
10,15,25,11874,363657,375531,0.001081,0.020688,0.021769
10,15,25,8114,2966764,2974878,0.000714,0.131323,0.132037
10,14,24,14392,886816,901208,0.001266,0.037788,0.039054
9,13,22,9895,145310,155205,0.000716,0.006824,0.007540
9,15,24,1714,1595012,1596726,0.000166,0.071947,0.072113
10,13,23,36137,96343,132480,0.002660,0.004705,0.007365
10,14,24,13526,423519,437045,0.001096,0.017529,0.018625
9,13,22,4064,119814,123878,0.000380,0.005093,0.005473
10,15,25,35190,766932,802122,0.002630,0.029339,0.031969
9,14,23,2863,1007446,1010309,0.000276,0.037210,0.037486
9,15,24,18243,3124866,3143109,0.001390,0.112288,0.113678
10,14,24,52798,325316,378114,0.003890,0.012702,0.016592
9,14,23,5321,283611,288932,0.000493,0.011482,0.011975
10,13,23,51134,114222,165356,0.003468,0.005138,0.008606
10,14,24,20965,2147274,2168239,0.001515,0.075274,0.076789
9,13,22,3757,1920,5677,0.000367,0.000158,0.000525
10,15,25,44310,327695,372005,0.002373,0.013986,0.016359
9,16,25,2196,3083206,3085402,0.000211,0.115830,0.116041
9,13,22,1256,515618,516874,0.000158,0.018137,0.018295
8,15,23,837,980319,981156,0.000103,0.040597,0.040700
8,13,21,784,3238,4022,0.000099,0.000264,0.000363
9,14,23,2336,334937,337273,0.000255,0.011712,0.011967
9,13,22,4589,146530,151119,0.000410,0.006065,0.006475
10,14,24,15543,647540,663083,0.001262,0.024268,0.025530
8,14,22,1505,129877,131382,0.000164,0.006455,0.006619
9,15,24,6383,352370,358753,0.000529,0.015362,0.015891
9,14,23,2743,1162224,1164967,0.000246,0.042414,0.042660
9,13,22,9545,307957,317502,0.000849,0.011832,0.012681
10,15,25,38490,1602589,1641079,0.002924,0.059309,0.062233
10,12,22,23259,16716,39975,0.001833,0.000791,0.002624
10,15,25,57456,240787,298243,0.003722,0.010474,0.014196
10,9,19,31093,1197,32290,0.002112,0.000082,0.002194
10,13,23,51795,27326,79121,0.003432,0.002005,0.005437
7,15,22,158,532692,532850,0.000008,0.023180,0.023188
10,13,23,131111,442948,574059,0.008027,0.016283,0.024310
10,13,23,36626,11631,48257,0.002449,0.000692,0.003141
10,12,22,18770,24585,43355,0.001342,0.001377,0.002719
10,13,23,84151,314741,398892,0.005507,0.012047,0.017554
10,15,25,33337,372002,405339,0.002238,0.016389,0.018627
10,13,23,16658,647917,664575,0.001291,0.023896,0.025187
10,15,25,11114,1076914,1088028,0.000816,0.040437,0.041253
9,14,23,6904,103633,110537,0.000596,0.004136,0.004732
10,13,23,14481,58415,72896,0.001088,0.002352,0.003440
9,14,23,4421,12938,17359,0.000350,0.000945,0.001295
9,12,21,11974,240913,252887,0.000924,0.008811,0.009735
8,15,23,273,4700880,4701153,0.000027,0.180448,0.180475
9,13,22,9602,56468,66070,0.000789,0.002405,0.003194
10,13,23,28577,32376,60953,0.002029,0.001472,0.003501
10,13,23,20783,149775,170558,0.001485,0.005910,0.007395
10,13,23,43523,131055,174578,0.002743,0.005206,0.007949
11,14,25,103078,117650,220728,0.006473,0.004793,0.011266
10,14,24,26884,331322,358206,0.001820,0.012902,0.014722
9,15,24,5949,1994774,2000723,0.000515,0.071193,0.071708
10,14,24,17446,387989,405435,0.001471,0.014514,0.015985
10,13,23,41884,81268,123152,0.003230,0.003966,0.007196
9,12,21,3567,25414,28981,0.000279,0.001222,0.001501
10,13,23,35181,26425,61606,0.002642,0.001502,0.004144
10,13,23,16232,160763,176995,0.001173,0.006786,0.007959
10,13,23,19400,32475,51875,0.001415,0.001622,0.003037
10,13,23,17612,101738,119350,0.001306,0.005029,0.006335
9,13,22,3801,132796,136597,0.000286,0.004758,0.005044
10,15,25,11407,3298481,3309888,0.000952,0.121674,0.122626
10,13,23,8895,5128,14023,0.000813,0.000384,0.001197
10,14,24,19060,418800,437860,0.001294,0.016571,0.017865
9,14,23,10408,915197,925605,0.000886,0.033582,0.034468
8,14,22,740,47599,48339,0.000101,0.002024,0.002125
10,12,22,40631,1340,41971,0.002918,0.000108,0.003026
9,15,24,4300,1430881,1435181,0.000334,0.062828,0.063162
10,12,22,35694,108436,144130,0.002405,0.004079,0.006484
10,13,23,85278,301,85579,0.005898,0.000032,0.005930
10,13,23,30806,28878,59684,0.001734,0.001410,0.003144
10,16,26,10637,8416853,8427490,0.000762,0.359164,0.359926
9,13,22,5251,10606,15857,0.000491,0.000657,0.001148
10,14,24,54052,1092077,1146129,0.003486,0.050267,0.053753
10,15,25,12037,2665163,2677200,0.000960,0.117206,0.118166
10,15,25,15551,713830,729381,0.001256,0.032264,0.033520
8,13,21,2614,382205,384819,0.000212,0.015663,0.015875
10,13,23,36468,95409,131877,0.002880,0.004595,0.007475
9,14,23,5646,1409526,1415172,0.000453,0.052119,0.052572
11,14,25,156858,864538,1021396,0.009845,0.030705,0.040550
10,15,25,39141,1310277,1349418,0.002847,0.055244,0.058091
10,14,24,134416,165794,300210,0.007929,0.006433,0.014362
10,15,25,15790,2214764,2230554,0.001189,0.079236,0.080425
10,12,22,12829,140527,153356,0.001077,0.004922,0.005999
9,12,21,3891,12354,16245,0.000321,0.000647,0.000968
10,14,24,43067,174657,217724,0.002659,0.007728,0.010387
9,13,22,8488,31395,39883,0.000684,0.001516,0.002200
11,14,25,121343,3851465,3972808,0.007399,0.126967,0.134366
10,15,25,38697,1494874,1533571,0.002624,0.054017,0.056641
10,13,23,14850,110559,125409,0.001284,0.004376,0.005660
9,16,25,7062,3610650,3617712,0.000664,0.138261,0.138925
10,13,23,22937,18198,41135,0.001721,0.000989,0.002710
9,13,22,18585,286360,304945,0.001260,0.011585,0.012845
10,15,25,44241,511522,555763,0.003102,0.021839,0.024941
9,11,20,10883,11307,22190,0.000824,0.000554,0.001378
10,15,25,61296,337645,398941,0.003853,0.014002,0.017855
8,13,21,3768,74098,77866,0.000332,0.002685,0.003017
9,15,24,2637,213582,216219,0.000252,0.009050,0.009302
9,15,24,14992,2379775,2394767,0.001067,0.088669,0.089736
10,12,22,13229,7242,20471,0.001074,0.000413,0.001487
9,16,25,1800,5383076,5384876,0.000196,0.219205,0.219401
9,14,23,2212,190310,192522,0.000207,0.008026,0.008233
8,15,23,496,2563669,2564165,0.000050,0.102233,0.102283
10,14,24,10144,420988,431132,0.000777,0.016230,0.017007
9,16,25,7188,7585647,7592835,0.000581,0.267420,0.268001
9,15,24,6123,433510,439633,0.000502,0.015560,0.016062
9,14,23,3364,599143,602507,0.000297,0.020409,0.020706
9,15,24,8745,1674082,1682827,0.000689,0.056198,0.056887
10,13,23,17975,23967,41942,0.001284,0.001187,0.002471
10,13,23,35758,46397,82155,0.002261,0.002011,0.004272
10,14,24,51175,4738818,4789993,0.003105,0.164784,0.167889
9,14,23,4705,245095,249800,0.000375,0.008625,0.009000
10,14,24,29344,209830,239174,0.001978,0.007911,0.009889
8,15,23,888,3341016,3341904,0.000077,0.141529,0.141606
10,14,24,77427,254859,332286,0.005371,0.009854,0.015225
9,13,22,7480,25795,33275,0.000617,0.001323,0.001940
10,15,25,53471,672636,726107,0.003855,0.026486,0.030341
10,14,24,14470,1177494,1191964,0.001018,0.038183,0.039201
10,15,25,63587,430106,493693,0.004123,0.016433,0.020556
9,12,21,10404,21684,32088,0.000798,0.000950,0.001748
9,12,21,4306,41241,45547,0.000329,0.001839,0.002168
10,16,26,77063,3845086,3922149,0.005075,0.147845,0.152920
9,11,20,9396,26421,35817,0.000743,0.001058,0.001801
8,15,23,796,1157460,1158256,0.000060,0.045071,0.045131
10,14,24,9916,269044,278960,0.000797,0.010719,0.011516
9,15,24,7886,4739466,4747352,0.000627,0.170194,0.170821
9,15,24,741,1080527,1081268,0.000074,0.042097,0.042171
9,15,24,8176,1113412,1121588,0.000662,0.045606,0.046268
8,14,22,1658,599254,600912,0.000156,0.021300,0.021456
8,13,21,1731,434967,436698,0.000169,0.016490,0.016659
10,15,25,16227,364854,381081,0.001287,0.012621,0.013908
8,13,21,3342,114765,118107,0.000250,0.004504,0.004754
9,13,22,10628,75706,86334,0.000781,0.002862,0.003643
10,15,25,35162,1871288,1906450,0.002510,0.065685,0.068195
9,13,22,6410,78411,84821,0.000541,0.003092,0.003633
10,14,24,45919,1414920,1460839,0.003238,0.048451,0.051689
10,16,26,5056,2875155,2880211,0.000403,0.109751,0.110154
8,13,21,392,62428,62820,0.000039,0.003149,0.003188
10,16,26,12003,3098826,3110829,0.000939,0.131952,0.132891
10,13,23,16254,695,16949,0.001405,0.000070,0.001475
9,16,25,10752,1745904,1756656,0.000768,0.073222,0.073990
9,13,22,2628,197483,200111,0.000210,0.007210,0.007420
10,15,25,8452,2663319,2671771,0.000739,0.103245,0.103984
9,15,24,1981,1297368,1299349,0.000183,0.051121,0.051304
10,12,22,23487,16758,40245,0.001748,0.000735,0.002483
10,14,24,31816,493535,525351,0.002111,0.019489,0.021600
10,14,24,15546,864630,880176,0.001266,0.032392,0.033658
9,15,24,16244,3463433,3479677,0.001167,0.145125,0.146292
10,15,25,9162,415483,424645,0.000715,0.015047,0.015762
