phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,13,23,19400,32475,51875,0.001391,0.001666,0.003057
10,13,23,17612,101738,119350,0.001329,0.004949,0.006278
9,13,22,3801,132796,136597,0.000293,0.005019,0.005312
10,15,25,11407,3298481,3309888,0.000942,0.126242,0.127184
10,13,23,8895,5128,14023,0.000787,0.000392,0.001179
10,14,24,19060,418800,437860,0.001313,0.016524,0.017837
9,14,23,10408,915197,925605,0.000855,0.033704,0.034559
8,14,22,740,47599,48339,0.000074,0.002046,0.002120
10,12,22,40631,1340,41971,0.002918,0.000106,0.003024
9,15,24,4300,1430881,1435181,0.000327,0.059621,0.059948
10,12,22,35694,108436,144130,0.002378,0.004077,0.006455
10,13,23,85278,301,85579,0.005696,0.000031,0.005727
10,13,23,30806,28878,59684,0.001801,0.001497,0.003298
10,16,26,10637,8416853,8427490,0.001126,0.335354,0.336480
9,13,22,5251,10606,15857,0.000508,0.000670,0.001178
10,14,24,54052,1092077,1146129,0.003870,0.042424,0.046294
10,15,25,12037,2665163,2677200,0.000998,0.103434,0.104432
10,15,25,15551,713830,729381,0.001236,0.028279,0.029515
8,13,21,2614,382205,384819,0.000214,0.014905,0.015119
10,13,23,36468,95409,131877,0.002904,0.004510,0.007414
9,14,23,5646,1409526,1415172,0.000468,0.053887,0.054355
11,14,25,156858,864538,1021396,0.009820,0.032004,0.041824
10,15,25,39141,1310277,1349418,0.002852,0.057072,0.059924
10,14,24,134416,165794,300210,0.008290,0.006436,0.014726
10,15,25,15790,2214764,2230554,0.001168,0.085497,0.086665
10,12,22,12829,140527,153356,0.001050,0.005149,0.006199
9,12,21,3891,12354,16245,0.000307,0.000655,0.000962
10,14,24,43067,174657,217724,0.002942,0.007713,0.010655
9,13,22,8488,31395,39883,0.000701,0.001659,0.002360
11,14,25,121343,3851465,3972808,0.007376,0.127796,0.135172
10,15,25,38697,1494874,1533571,0.002683,0.057832,0.060515
10,13,23,14850,110559,125409,0.001311,0.004502,0.005813
9,16,25,7062,3610650,3617712,0.000610,0.142154,0.142764
10,13,23,22937,18198,41135,0.001684,0.001015,0.002699
9,13,22,18585,286360,304945,0.001282,0.011795,0.013077
10,15,25,44241,511522,555763,0.003120,0.022202,0.025322
9,11,20,10883,11307,22190,0.000851,0.000586,0.001437
10,15,25,61296,337645,398941,0.003795,0.014858,0.018653
8,13,21,3768,74098,77866,0.000329,0.002632,0.002961
9,15,24,2637,213582,216219,0.000237,0.009166,0.009403
9,15,24,14992,2379775,2394767,0.001096,0.092116,0.093212
10,12,22,13229,7242,20471,0.001110,0.000415,0.001525
9,16,25,1800,5383076,5384876,0.000192,0.204489,0.204681
9,14,23,2212,190310,192522,0.000207,0.007560,0.007767
8,15,23,496,2563669,2564165,0.000044,0.097796,0.097840
10,14,24,10144,420988,431132,0.000862,0.016170,0.017032
9,16,25,7188,7585647,7592835,0.000599,0.279514,0.280113
9,15,24,6123,433510,439633,0.000552,0.015689,0.016241
9,14,23,3364,599143,602507,0.000304,0.021033,0.021337
9,15,24,8745,1674082,1682827,0.000752,0.057681,0.058433
10,13,23,17975,23967,41942,0.001446,0.001194,0.002640
10,13,23,35758,46397,82155,0.002709,0.001970,0.004679
10,14,24,51175,4738818,4789993,0.003701,0.169008,0.172709
9,14,23,4705,245095,249800,0.000403,0.008861,0.009264
10,14,24,29344,209830,239174,0.002362,0.008783,0.011145
8,15,23,888,3341016,3341904,0.000075,0.118657,0.118732
10,14,24,77427,254859,332286,0.005888,0.009256,0.015144
9,13,22,7480,25795,33275,0.000593,0.001377,0.001970
10,15,25,53471,672636,726107,0.004144,0.027025,0.031169
10,14,24,14470,1177494,1191964,0.001145,0.039509,0.040654
10,15,25,63587,430106,493693,0.004795,0.017274,0.022069
