phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,15,25,15708,732399,748107,0.000863,0.018041,0.018904
8,12,20,379,19837,20216,0.000020,0.000555,0.000575
10,13,23,42395,278387,320782,0.001862,0.007255,0.009117
9,15,24,25769,284885,310654,0.001057,0.007862,0.008919
10,13,23,65886,85832,151718,0.003154,0.002606,0.005760
9,15,24,1350,275724,277074,0.000078,0.008070,0.008148
10,13,23,35161,421053,456214,0.001620,0.011769,0.013389
10,13,23,30981,264097,295078,0.001549,0.007724,0.009273
9,13,22,5612,1575015,1580627,0.000271,0.037700,0.037971
9,13,22,757,173835,174592,0.000043,0.004271,0.004314
9,14,23,567,1069956,1070523,0.000033,0.024511,0.024544
10,14,24,19938,139989,159927,0.000888,0.003638,0.004526
10,13,23,36686,26103,62789,0.001624,0.000778,0.002402
9,12,21,17248,589,17837,0.000693,0.000029,0.000722
8,14,22,424,1493972,1494396,0.000022,0.037060,0.037082
10,14,24,31772,852918,884690,0.001570,0.019687,0.021257
10,14,24,26392,126741,153133,0.001230,0.003382,0.004612
9,13,22,6133,291843,297976,0.000321,0.007536,0.007857
9,13,22,6933,16460,23393,0.000332,0.000538,0.000870
11,16,27,80529,24229944,24310473,0.003476,0.521732,0.525208
10,14,24,33473,191388,224861,0.001518,0.004957,0.006475
10,15,25,31655,3083266,3114921,0.001299,0.073527,0.074826
9,14,23,6543,1482979,1489522,0.000314,0.038400,0.038714
10,14,24,9583,219012,228595,0.000495,0.005715,0.006210
9,14,23,6477,540282,546759,0.000315,0.013265,0.013580
10,13,23,27610,82724,110334,0.001321,0.002183,0.003504
9,14,23,5867,1119293,1125160,0.000293,0.025502,0.025795
10,14,24,94138,72922,167060,0.004071,0.002103,0.006174
9,15,24,1317,1055044,1056361,0.000059,0.024502,0.024561
11,13,24,48806,203401,252207,0.002225,0.005035,0.007260
10,15,25,32020,1649910,1681930,0.001398,0.037931,0.039329
10,15,25,25143,212664,237807,0.001051,0.004782,0.005833
