phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,15,25,15099,1230829,1245928,0.000744,0.022293,0.023037
9,15,24,2023,2657719,2659742,0.000108,0.047396,0.047504
9,13,22,2387,41400,43787,0.000138,0.000830,0.000968
10,13,23,18591,67664,86255,0.000842,0.001341,0.002183
9,13,22,1791,161198,162989,0.000082,0.003083,0.003165
10,15,25,19673,444647,464320,0.000970,0.008368,0.009338
9,13,22,2414,4770,7184,0.000106,0.000133,0.000239
9,14,23,4314,1884202,1888516,0.000203,0.032978,0.033181
9,15,24,15893,4562406,4578299,0.000686,0.081837,0.082523
10,13,23,16714,80131,96845,0.000805,0.001646,0.002451
10,13,23,13122,137054,150176,0.000569,0.002687,0.003256
10,15,25,57475,1071111,1128586,0.002153,0.020917,0.023070
10,15,25,38947,1336738,1375685,0.001655,0.027094,0.028749
9,14,23,3944,315390,319334,0.000228,0.005838,0.006066
10,14,24,21111,2746388,2767499,0.000995,0.055858,0.056853
10,15,25,7390,1148283,1155673,0.000419,0.025933,0.026352
9,12,21,5351,78331,83682,0.000314,0.001759,0.002073
10,15,25,26475,465361,491836,0.001349,0.010692,0.012041
9,14,23,1490,1086945,1088435,0.000078,0.024117,0.024195
10,10,20,58413,1707,60120,0.002566,0.000053,0.002619
8,13,21,1242,81458,82700,0.000056,0.002098,0.002154
9,15,24,13449,786794,800243,0.000584,0.018469,0.019053
10,15,25,51448,7159087,7210535,0.002209,0.156657,0.158866
10,15,25,30673,5014611,5045284,0.001605,0.112334,0.113939
10,12,22,6136,57331,63467,0.000373,0.001224,0.001597
10,12,22,21538,42504,64042,0.001000,0.001051,0.002051
11,14,25,147894,366859,514753,0.005393,0.009090,0.014483
10,13,23,20243,132041,152284,0.000963,0.003244,0.004207
9,14,23,4995,591898,596893,0.000247,0.013458,0.013705
10,15,25,14890,493099,507989,0.000756,0.012452,0.013208
10,13,23,40423,60389,100812,0.001871,0.001608,0.003479
10,14,24,28637,56890,85527,0.001149,0.001790,0.002939
10,15,25,43368,427332,470700,0.001703,0.010792,0.012495
10,15,25,43698,654093,697791,0.001891,0.015745,0.017636
9,13,22,9487,31785,41272,0.000413,0.000778,0.001191
9,11,20,638,29455,30093,0.000031,0.000681,0.000712
10,14,24,19472,125785,145257,0.000857,0.003167,0.004024
10,13,23,17058,593352,610410,0.000729,0.012855,0.013584
10,13,23,55940,49672,105612,0.002228,0.001202,0.003430
10,14,24,21366,214990,236356,0.000877,0.005649,0.006526
10,14,24,29460,719835,749295,0.001479,0.016669,0.018148
10,14,24,12740,653474,666214,0.000659,0.014773,0.015432
9,16,25,5044,3118945,3123989,0.000262,0.063862,0.064124
10,14,24,7272,140557,147829,0.000366,0.002810,0.003176
9,15,24,1034,4307778,4308812,0.000048,0.076723,0.076771
10,14,24,21477,191492,212969,0.000873,0.003383,0.004256
9,14,23,6090,558906,564996,0.000276,0.010201,0.010477
8,15,23,1357,750564,751921,0.000060,0.013275,0.013335
10,14,24,38428,275071,313499,0.001425,0.005190,0.006615
9,13,22,3090,37247,40337,0.000138,0.000715,0.000853
10,14,24,14492,452554,467046,0.000555,0.008079,0.008634
9,14,23,6796,47754,54550,0.000238,0.000875,0.001113
9,13,22,4371,430931,435302,0.000183,0.007557,0.007740
10,15,25,14866,1280467,1295333,0.000617,0.022039,0.022656
10,12,22,20478,6877,27355,0.000954,0.000164,0.001118
9,15,24,891,12815600,12816491,0.000036,0.220115,0.220151
10,13,23,40052,35493,75545,0.001628,0.000722,0.002350
9,15,24,6513,1928802,1935315,0.000260,0.034305,0.034565
10,15,25,3681,4198621,4202302,0.000168,0.073476,0.073644
10,12,22,51171,4452,55623,0.001953,0.000124,0.002077
10,15,25,12912,1109477,1122389,0.000499,0.021348,0.021847
10,15,25,46448,1933305,1979753,0.001750,0.036381,0.038131
10,14,24,45639,153674,199313,0.001770,0.002870,0.004640
9,15,24,8749,781788,790537,0.000328,0.016488,0.016816
9,14,23,4124,806530,810654,0.000190,0.013264,0.013454
10,15,25,26959,359806,386765,0.001067,0.006532,0.007599
10,14,24,20951,141044,161995,0.000823,0.002638,0.003461
10,14,24,78105,106624,184729,0.002868,0.002375,0.005243
9,13,22,6577,26318,32895,0.000255,0.000687,0.000942
9,14,23,3959,489990,493949,0.000146,0.011108,0.011254
10,14,24,17884,141353,159237,0.000762,0.003404,0.004166
10,14,24,6770,1177731,1184501,0.000293,0.025510,0.025803
10,14,24,33389,475411,508800,0.001390,0.010588,0.011978
10,14,24,21008,91950,112958,0.000836,0.002404,0.003240
9,15,24,3775,936143,939918,0.000173,0.020002,0.020175
10,15,25,57188,2936238,2993426,0.002170,0.056211,0.058381
9,15,24,6633,1504958,1511591,0.000265,0.026261,0.026526
8,14,22,674,878215,878889,0.000032,0.015351,0.015383
8,14,22,442,74383,74825,0.000018,0.001343,0.001361
10,15,25,9103,1184230,1193333,0.000379,0.019807,0.020186
9,15,24,6237,7420911,7427148,0.000275,0.130913,0.131188
11,14,25,105551,109292,214843,0.003783,0.002866,0.006649
10,15,25,24283,1017397,1041680,0.000903,0.024574,0.025477
9,13,22,2424,142895,145319,0.000115,0.003181,0.003296
9,14,23,7111,543103,550214,0.000353,0.011628,0.011981
9,14,23,2083,333489,335572,0.000118,0.006235,0.006353
9,13,22,4164,186454,190618,0.000190,0.003439,0.003629
10,14,24,34727,236697,271424,0.001319,0.004476,0.005795
9,15,24,3831,264011,267842,0.000159,0.005437,0.005596
10,14,24,28195,43557,71752,0.001174,0.001288,0.002462
10,14,24,11904,415317,427221,0.000498,0.009317,0.009815
9,14,23,1498,281788,283286,0.000068,0.006385,0.006453
10,14,24,15600,1426172,1441772,0.000714,0.027742,0.028456
9,13,22,4144,492063,496207,0.000183,0.008548,0.008731
10,14,24,10121,535455,545576,0.000443,0.009585,0.010028
10,15,25,29474,1529780,1559254,0.001173,0.026254,0.027427
10,14,24,11058,557721,568779,0.000459,0.009537,0.009996
11,14,25,87005,84251,171256,0.003134,0.001775,0.004909
9,14,23,1513,277435,278948,0.000057,0.005658,0.005715
9,15,24,5856,341969,347825,0.000258,0.008154,0.008412
10,15,25,22758,900135,922893,0.001049,0.020144,0.021193
11,14,25,64179,183675,247854,0.002640,0.004325,0.006965
9,13,22,13403,65489,78892,0.000520,0.001603,0.002123
9,15,24,5377,268870,274247,0.000245,0.006407,0.006652
11,14,25,128912,99499,228411,0.005022,0.003134,0.008156
9,15,24,23802,2348774,2372576,0.000871,0.053703,0.054574
10,14,24,15742,173140,188882,0.000761,0.005473,0.006234
9,15,24,4949,4195268,4200217,0.000323,0.090788,0.091111
10,14,24,34597,1178820,1213417,0.001526,0.019850,0.021376
9,14,23,4650,226459,231109,0.000213,0.004067,0.004280
10,15,25,35731,465303,501034,0.001402,0.008630,0.010032
9,13,22,2451,108894,111345,0.000108,0.002011,0.002119
10,14,24,13792,174496,188288,0.000504,0.003226,0.003730
10,15,25,34566,1618348,1652914,0.001364,0.032778,0.034142
10,14,24,11691,2461233,2472924,0.000508,0.042380,0.042888
10,14,24,23678,44428,68106,0.000972,0.000920,0.001892
9,15,24,10673,2384622,2395295,0.000422,0.041362,0.041784
9,15,24,2925,787315,790240,0.000128,0.013529,0.013657
9,13,22,9520,6934,16454,0.000388,0.000177,0.000565
10,13,23,14294,85877,100171,0.000590,0.001600,0.002190
10,15,25,86630,2420626,2507256,0.003038,0.046325,0.049363
9,15,24,11422,3963547,3974969,0.000455,0.068198,0.068653
9,14,23,4455,489038,493493,0.000207,0.008582,0.008789
9,15,24,17769,470490,488259,0.000654,0.008232,0.008886
9,14,23,10100,227006,237106,0.000415,0.004061,0.004476
9,12,21,9277,87158,96435,0.000358,0.001535,0.001893
10,15,25,60278,628522,688800,0.002214,0.012627,0.014841
9,13,22,6499,302380,308879,0.000253,0.005716,0.005969
10,15,25,18734,1277590,1296324,0.000698,0.023751,0.024449
9,15,24,2335,2752817,2755152,0.000099,0.047246,0.047345
10,16,26,48326,8069838,8118164,0.001833,0.137199,0.139032
10,13,23,56831,191909,248740,0.002037,0.003391,0.005428
10,13,23,32672,469325,501997,0.001165,0.009096,0.010261
10,13,23,41322,176302,217624,0.001622,0.004089,0.005711
10,13,23,17884,56421,74305,0.000735,0.001469,0.002204
9,12,21,7058,35961,43019,0.000315,0.000877,0.001192
9,15,24,13156,161084,174240,0.000498,0.004020,0.004518
10,14,24,57698,35722,93420,0.002890,0.001445,0.004335
9,14,23,8570,379422,387992,0.000402,0.009034,0.009436
9,14,23,4772,388746,393518,0.000222,0.009037,0.009259
